Session,matchId,roundId,groupId,clientId,Gender,Topic,Grade,Siblings,Month,Year,Track,payoff,role,roleName,choice,choiceTime,equilibriumChoice,winningChoice
LILA-King-S1,8,0,0,2,Female,Math,7,2 or more,feb.,2006,ELD,20,1,Player 2,0,10015,1,0
LILA-King-S1,8,0,0,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,0,Player 1,2,17061,1,1
LILA-King-S1,8,0,0,7,Male,Science / Technology,8,0,jul.,2005,ELD,20,2,Player 3,1,6224,0,0
LILA-King-S1,8,0,1,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,20,1,Player 2,1,9748,0,0
LILA-King-S1,8,0,1,1,Male,Math,8,1,apr.,2005,ELD,40,2,Player 3,2,57693,1,1
LILA-King-S1,8,0,1,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,40,0,Player 1,1,35495,0,1
LILA-King-S1,8,0,2,6,Male,History / Geography,8,1,nov.,2005,ELD,40,1,Player 2,0,22609,1,1
LILA-King-S1,8,0,2,10,Male,Math,8,1,dec.,2004,ELD,40,2,Player 3,2,7206,1,1
LILA-King-S1,8,0,2,11,Male,Art / Music,6,0,jun.,2006,ELD,20,0,Player 1,1,8224,0,0
LILA-King-S1,8,0,3,4,Female,Math,6,2 or more,jul.,2007,ELD,20,1,Player 2,0,22147,1,0
LILA-King-S1,8,0,3,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,20,2,Player 3,1,37305,0,0
LILA-King-S1,8,0,3,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,0,Player 1,0,30868,0,0
LILA-King-S1,9,0,0,1,Male,Math,8,1,apr.,2005,ELD,40,0,Player 1,2,29315,0,1
LILA-King-S1,9,0,0,6,Male,History / Geography,8,1,nov.,2005,ELD,40,2,Player 3,0,9801,1,1
LILA-King-S1,9,0,0,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,1,Player 2,2,22633,0,0
LILA-King-S1,9,0,1,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,40,2,Player 3,0,7898,1,1
LILA-King-S1,9,0,1,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,20,1,Player 2,2,47830,0,0
LILA-King-S1,9,0,1,10,Male,Math,8,1,dec.,2004,ELD,40,0,Player 1,2,9377,0,1
LILA-King-S1,9,0,2,2,Female,Math,7,2 or more,feb.,2006,ELD,40,2,Player 3,0,4212,1,1
LILA-King-S1,9,0,2,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,20,1,Player 2,2,19550,0,0
LILA-King-S1,9,0,2,7,Male,Science / Technology,8,0,jul.,2005,ELD,40,0,Player 1,2,11202,0,1
LILA-King-S1,9,0,3,4,Female,Math,6,2 or more,jul.,2007,ELD,40,2,Player 3,0,8939,1,1
LILA-King-S1,9,0,3,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,40,0,Player 1,2,6837,0,1
LILA-King-S1,9,0,3,11,Male,Art / Music,6,0,jun.,2006,ELD,20,1,Player 2,2,6535,0,0
LILA-King-S1,10,0,0,2,Female,Math,7,2 or more,feb.,2006,ELD,20,0,Player 1,1,15038,1,0
LILA-King-S1,10,0,0,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,20,2,Player 3,2,14962,0,0
LILA-King-S1,10,0,0,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,40,1,Player 2,1,14655,0,1
LILA-King-S1,10,0,1,4,Female,Math,6,2 or more,jul.,2007,ELD,20,0,Player 1,1,19642,1,0
LILA-King-S1,10,0,1,10,Male,Math,8,1,dec.,2004,ELD,20,1,Player 2,0,8585,0,0
LILA-King-S1,10,0,1,11,Male,Art / Music,6,0,jun.,2006,ELD,40,2,Player 3,1,3868,1,1
LILA-King-S1,10,0,2,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,20,0,Player 1,0,8299,0,0
LILA-King-S1,10,0,2,7,Male,Science / Technology,8,0,jul.,2005,ELD,20,1,Player 2,2,2993,1,0
LILA-King-S1,10,0,2,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,20,2,Player 3,0,6539,0,0
LILA-King-S1,10,0,3,1,Male,Math,8,1,apr.,2005,ELD,20,1,Player 2,1,7999,0,0
LILA-King-S1,10,0,3,6,Male,History / Geography,8,1,nov.,2005,ELD,20,0,Player 1,0,15126,0,0
LILA-King-S1,10,0,3,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,2,Player 3,0,52456,0,0
LILA-King-S1,11,0,0,1,Male,Math,8,1,apr.,2005,ELD,40,2,Player 3,2,7132,1,1
LILA-King-S1,11,0,0,4,Female,Math,6,2 or more,jul.,2007,ELD,40,1,Player 2,0,15511,1,1
LILA-King-S1,11,0,0,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,20,0,Player 1,2,12944,0,0
LILA-King-S1,11,0,1,6,Male,History / Geography,8,1,nov.,2005,ELD,40,1,Player 2,0,27566,1,1
LILA-King-S1,11,0,1,7,Male,Science / Technology,8,0,jul.,2005,ELD,40,2,Player 3,2,3726,1,1
LILA-King-S1,11,0,1,11,Male,Art / Music,6,0,jun.,2006,ELD,40,0,Player 1,1,7619,1,1
LILA-King-S1,11,0,2,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,20,1,Player 2,1,13453,0,0
LILA-King-S1,11,0,2,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,40,2,Player 3,2,5573,1,1
LILA-King-S1,11,0,2,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,0,Player 1,2,36882,0,0
LILA-King-S1,11,0,3,2,Female,Math,7,2 or more,feb.,2006,ELD,40,1,Player 2,0,10260,1,1
LILA-King-S1,11,0,3,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,0,Player 1,1,19917,1,1
LILA-King-S1,11,0,3,10,Male,Math,8,1,dec.,2004,ELD,40,2,Player 3,2,5494,1,1
LILA-King-S1,12,0,0,2,Female,Math,7,2 or more,feb.,2006,ELD,40,2,Player 3,2,5412,1,1
LILA-King-S1,12,0,0,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,1,Player 2,1,19664,1,1
LILA-King-S1,12,0,0,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,20,0,Player 1,0,6824,0,0
LILA-King-S1,12,0,1,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,40,2,Player 3,2,7130,1,1
LILA-King-S1,12,0,1,1,Male,Math,8,1,apr.,2005,ELD,40,0,Player 1,2,21123,1,1
LILA-King-S1,12,0,1,11,Male,Art / Music,6,0,jun.,2006,ELD,40,1,Player 2,1,8639,1,1
LILA-King-S1,12,0,2,6,Male,History / Geography,8,1,nov.,2005,ELD,40,2,Player 3,2,22885,1,1
LILA-King-S1,12,0,2,7,Male,Science / Technology,8,0,jul.,2005,ELD,40,0,Player 1,0,2992,0,1
LILA-King-S1,12,0,2,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,1,Player 2,0,13035,0,0
LILA-King-S1,12,0,3,4,Female,Math,6,2 or more,jul.,2007,ELD,40,2,Player 3,2,19083,1,1
LILA-King-S1,12,0,3,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,40,1,Player 2,1,34124,1,1
LILA-King-S1,12,0,3,10,Male,Math,8,1,dec.,2004,ELD,20,0,Player 1,0,5107,0,0
LILA-King-S1,13,0,0,6,Male,History / Geography,8,1,nov.,2005,ELD,40,0,Player 1,2,26460,0,1
LILA-King-S1,13,0,0,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,40,2,Player 3,1,29366,1,1
LILA-King-S1,13,0,0,10,Male,Math,8,1,dec.,2004,ELD,20,1,Player 2,2,11710,0,0
LILA-King-S1,13,0,1,2,Female,Math,7,2 or more,feb.,2006,ELD,20,0,Player 1,1,10024,1,0
LILA-King-S1,13,0,1,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,20,1,Player 2,2,9957,0,0
LILA-King-S1,13,0,1,11,Male,Art / Music,6,0,jun.,2006,ELD,40,2,Player 3,1,6813,1,1
LILA-King-S1,13,0,2,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,20,0,Player 1,2,22043,0,0
LILA-King-S1,13,0,2,1,Male,Math,8,1,apr.,2005,ELD,40,1,Player 2,1,7581,1,1
LILA-King-S1,13,0,2,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,40,2,Player 3,1,15988,1,1
LILA-King-S1,13,0,3,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,2,Player 3,1,14638,1,1
LILA-King-S1,13,0,3,4,Female,Math,6,2 or more,jul.,2007,ELD,40,0,Player 1,1,14324,1,1
LILA-King-S1,13,0,3,7,Male,Science / Technology,8,0,jul.,2005,ELD,40,1,Player 2,1,2076,1,1
LILA-King-S1,14,0,0,2,Female,Math,7,2 or more,feb.,2006,ELD,40,1,Player 2,2,6991,1,1
LILA-King-S1,14,0,0,10,Male,Math,8,1,dec.,2004,ELD,40,2,Player 3,0,3599,1,1
LILA-King-S1,14,0,0,11,Male,Art / Music,6,0,jun.,2006,ELD,40,0,Player 1,2,15434,1,1
LILA-King-S1,14,0,1,1,Male,Math,8,1,apr.,2005,ELD,40,2,Player 3,0,4418,1,1
LILA-King-S1,14,0,1,6,Male,History / Geography,8,1,nov.,2005,ELD,40,1,Player 2,2,30596,1,1
LILA-King-S1,14,0,1,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,0,Player 1,1,19168,0,0
LILA-King-S1,14,0,2,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,0,Player 1,2,15417,1,1
LILA-King-S1,14,0,2,4,Female,Math,6,2 or more,jul.,2007,ELD,40,1,Player 2,2,51077,1,1
LILA-King-S1,14,0,2,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,40,2,Player 3,0,8921,1,1
LILA-King-S1,14,0,3,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,20,1,Player 2,1,9535,0,0
LILA-King-S1,14,0,3,7,Male,Science / Technology,8,0,jul.,2005,ELD,20,2,Player 3,1,2057,0,0
LILA-King-S1,14,0,3,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,20,0,Player 1,1,14724,0,0
LILA-King-S1,15,0,0,2,Female,Math,7,2 or more,feb.,2006,ELD,40,2,Player 3,2,6012,1,1
LILA-King-S1,15,0,0,7,Male,Science / Technology,8,0,jul.,2005,ELD,20,0,Player 1,1,3041,0,0
LILA-King-S1,15,0,0,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,1,Player 2,1,24397,0,0
LILA-King-S1,15,0,1,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,40,2,Player 3,2,5655,1,1
LILA-King-S1,15,0,1,1,Male,Math,8,1,apr.,2005,ELD,40,0,Player 1,0,7435,1,1
LILA-King-S1,15,0,1,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,1,Player 2,0,30827,1,1
LILA-King-S1,15,0,2,6,Male,History / Geography,8,1,nov.,2005,ELD,40,2,Player 3,2,18631,1,1
LILA-King-S1,15,0,2,10,Male,Math,8,1,dec.,2004,ELD,20,0,Player 1,2,6868,0,0
LILA-King-S1,15,0,2,11,Male,Art / Music,6,0,jun.,2006,ELD,40,1,Player 2,0,8970,1,1
LILA-King-S1,15,0,3,4,Female,Math,6,2 or more,jul.,2007,ELD,40,2,Player 3,2,9379,1,1
LILA-King-S1,15,0,3,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,20,0,Player 1,2,7005,0,0
LILA-King-S1,15,0,3,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,20,1,Player 2,2,7736,0,0
LILA-King-S1,16,0,0,2,Female,Math,7,2 or more,feb.,2006,ELD,20,0,Player 1,0,10229,1,0
LILA-King-S1,16,0,0,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,2,Player 3,2,20957,0,0
LILA-King-S1,16,0,0,10,Male,Math,8,1,dec.,2004,ELD,20,1,Player 2,2,13480,0,0
LILA-King-S1,16,0,1,6,Male,History / Geography,8,1,nov.,2005,ELD,40,0,Player 1,0,37402,1,1
LILA-King-S1,16,0,1,7,Male,Science / Technology,8,0,jul.,2005,ELD,40,1,Player 2,0,3140,1,1
LILA-King-S1,16,0,1,11,Male,Art / Music,6,0,jun.,2006,ELD,40,2,Player 3,0,4042,1,1
LILA-King-S1,16,0,2,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,20,0,Player 1,0,24212,1,0
LILA-King-S1,16,0,2,1,Male,Math,8,1,apr.,2005,ELD,20,1,Player 2,2,5850,0,0
LILA-King-S1,16,0,2,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,40,2,Player 3,0,9225,1,1
LILA-King-S1,16,0,3,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,2,Player 3,0,8567,1,1
LILA-King-S1,16,0,3,4,Female,Math,6,2 or more,jul.,2007,ELD,20,0,Player 1,0,14990,1,0
LILA-King-S1,16,0,3,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,20,1,Player 2,1,6172,0,0
LILA-King-S1,17,0,0,2,Female,Math,7,2 or more,feb.,2006,ELD,20,1,Player 2,0,14228,1,0
LILA-King-S1,17,0,0,7,Male,Science / Technology,8,0,jul.,2005,ELD,20,2,Player 3,1,2540,0,0
LILA-King-S1,17,0,0,11,Male,Art / Music,6,0,jun.,2006,ELD,40,0,Player 1,2,8841,1,1
LILA-King-S1,17,0,1,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,20,1,Player 2,1,10416,0,0
LILA-King-S1,17,0,1,1,Male,Math,8,1,apr.,2005,ELD,40,2,Player 3,2,8885,1,1
LILA-King-S1,17,0,1,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,0,Player 1,0,17482,0,0
LILA-King-S1,17,0,2,4,Female,Math,6,2 or more,jul.,2007,ELD,40,1,Player 2,0,6987,1,1
LILA-King-S1,17,0,2,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,40,2,Player 3,2,4826,1,1
LILA-King-S1,17,0,2,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,20,0,Player 1,0,11061,0,0
LILA-King-S1,17,0,3,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,0,Player 1,2,19070,1,1
LILA-King-S1,17,0,3,6,Male,History / Geography,8,1,nov.,2005,ELD,40,1,Player 2,0,23084,1,1
LILA-King-S1,17,0,3,10,Male,Math,8,1,dec.,2004,ELD,40,2,Player 3,2,5844,1,1
LILA-King-S1,18,0,0,4,Female,Math,6,2 or more,jul.,2007,ELD,40,2,Player 3,0,4990,1,1
LILA-King-S1,18,0,0,7,Male,Science / Technology,8,0,jul.,2005,ELD,20,0,Player 1,2,2800,0,0
LILA-King-S1,18,0,0,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,40,1,Player 2,0,21892,1,1
LILA-King-S1,18,0,1,2,Female,Math,7,2 or more,feb.,2006,ELD,40,2,Player 3,0,7193,1,1
LILA-King-S1,18,0,1,10,Male,Math,8,1,dec.,2004,ELD,20,0,Player 1,0,10338,0,0
LILA-King-S1,18,0,1,11,Male,Art / Music,6,0,jun.,2006,ELD,40,1,Player 2,0,6413,1,1
LILA-King-S1,18,0,2,1,Male,Math,8,1,apr.,2005,ELD,40,0,Player 1,2,4302,0,1
LILA-King-S1,18,0,2,6,Male,History / Geography,8,1,nov.,2005,ELD,40,2,Player 3,0,9745,1,1
LILA-King-S1,18,0,2,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,1,Player 2,2,8181,0,0
LILA-King-S1,18,0,3,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,40,2,Player 3,0,5476,1,1
LILA-King-S1,18,0,3,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,20,1,Player 2,2,38763,0,0
LILA-King-S1,18,0,3,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,40,0,Player 1,2,5356,0,1
LILA-King-S1,19,0,0,2,Female,Math,7,2 or more,feb.,2006,ELD,20,0,Player 1,1,8239,1,0
LILA-King-S1,19,0,0,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,20,1,Player 2,1,7337,0,0
LILA-King-S1,19,0,0,11,Male,Art / Music,6,0,jun.,2006,ELD,40,2,Player 3,1,3794,1,1
LILA-King-S1,19,0,1,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,40,0,Player 1,1,21401,1,1
LILA-King-S1,19,0,1,7,Male,Science / Technology,8,0,jul.,2005,ELD,20,1,Player 2,2,2537,1,0
LILA-King-S1,19,0,1,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,2,Player 3,2,29943,0,0
LILA-King-S1,19,0,2,1,Male,Math,8,1,apr.,2005,ELD,40,1,Player 2,2,5495,1,1
LILA-King-S1,19,0,2,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,2,Player 3,1,6253,1,1
LILA-King-S1,19,0,2,6,Male,History / Geography,8,1,nov.,2005,ELD,40,0,Player 1,1,13387,1,1
LILA-King-S1,19,0,3,4,Female,Math,6,2 or more,jul.,2007,ELD,40,0,Player 1,1,10047,1,1
LILA-King-S1,19,0,3,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,40,2,Player 3,1,5953,1,1
LILA-King-S1,19,0,3,10,Male,Math,8,1,dec.,2004,ELD,40,1,Player 2,2,5341,1,1
LILA-King-S1,20,0,0,6,Male,History / Geography,8,1,nov.,2005,ELD,20,1,Player 2,0,15093,1,0
LILA-King-S1,20,0,0,7,Male,Science / Technology,8,0,jul.,2005,ELD,20,2,Player 3,0,13132,0,0
LILA-King-S1,20,0,0,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,0,Player 1,2,18991,0,0
LILA-King-S1,20,0,1,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,20,1,Player 2,2,8383,0,0
LILA-King-S1,20,0,1,1,Male,Math,8,1,apr.,2005,ELD,40,2,Player 3,2,3718,1,1
LILA-King-S1,20,0,1,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,20,0,Player 1,1,10028,1,0
LILA-King-S1,20,0,2,4,Female,Math,6,2 or more,jul.,2007,ELD,40,1,Player 2,0,7203,1,1
LILA-King-S1,20,0,2,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,20,0,Player 1,2,11162,0,0
LILA-King-S1,20,0,2,10,Male,Math,8,1,dec.,2004,ELD,40,2,Player 3,2,3461,1,1
LILA-King-S1,20,0,3,2,Female,Math,7,2 or more,feb.,2006,ELD,40,1,Player 2,0,5663,1,1
LILA-King-S1,20,0,3,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,40,2,Player 3,2,8190,1,1
LILA-King-S1,20,0,3,11,Male,Art / Music,6,0,jun.,2006,ELD,20,0,Player 1,2,12405,0,0
LILA-King-S2,3,0,0,1,Male,Science / Technology,6,0,oct.,2006,Regular,40,2,Player 3,2,11125,1,1
LILA-King-S2,3,0,0,4,Male,Art / Music,6,1,jun.,2007,Regular,40,1,Player 2,1,20811,1,1
LILA-King-S2,3,0,0,9,Male,Science / Technology,6,0,mar.,2007,Regular,20,0,Player 1,1,26646,0,0
LILA-King-S2,3,0,1,3,Female,Art / Music,6,1,dec.,2006,Regular,20,0,Player 1,1,7672,0,0
LILA-King-S2,3,0,1,5,Female,Art / Music,6,1,sep.,2007,Regular,40,2,Player 3,2,6726,1,1
LILA-King-S2,3,0,1,8,Male,English,6,2 or more,aug.,2007,Regular,20,1,Player 2,0,11938,0,0
LILA-King-S2,3,0,2,6,Male,History / Geography,6,1,may.,2006,Regular,20,2,Player 3,0,7068,0,0
LILA-King-S2,3,0,2,7,Male,Science / Technology,6,2 or more,jul.,2007,Regular,20,0,Player 1,0,47805,0,0
LILA-King-S2,3,0,2,10,Female,English,6,0,jan.,2007,Regular,20,1,Player 2,1,25481,1,0
LILA-King-S2,3,0,3,0,Female,Art / Music,6,2 or more,sep.,2007,Regular,20,0,Player 1,0,8859,0,0
LILA-King-S2,3,0,3,2,Female,Math,6,2 or more,dec.,2006,Regular,20,1,Player 2,1,22413,1,0
LILA-King-S2,3,0,3,11,Male,English,6,1,feb.,2007,Regular,20,2,Player 3,0,7658,0,0
LILA-King-S2,4,0,0,1,Male,Science / Technology,6,0,oct.,2006,Regular,40,0,Player 1,2,21190,0,1
LILA-King-S2,4,0,0,4,Male,Art / Music,6,1,jun.,2007,Regular,40,2,Player 3,1,9672,1,1
