Session,matchId,roundId,groupId,clientId,Gender,Topic,Grade,Siblings,Month,Year,Magnet,Track,payoff,role,roleName,choice,choiceTime,equilibriumChoice,winningChoice
LILA-KingA-S1,1,0,2,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,20,0,Player 1,1,17220,TRUE,FALSE
LILA-KingA-S1,1,0,0,6,Male,English,6,1,jun.,2008,STEAM,Honors,20,0,Player 1,0,23959,FALSE,FALSE
LILA-KingA-S1,1,0,1,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,20,1,Player 2,1,48987,TRUE,FALSE
LILA-KingA-S1,1,0,0,1,Female,English,6,0,aug.,2008,STEAM,Honors,40,1,Player 2,1,16739,TRUE,TRUE
LILA-KingA-S1,1,0,3,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,20,1,Player 2,2,14682,FALSE,FALSE
LILA-KingA-S1,1,0,2,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,20,1,Player 2,2,12855,FALSE,FALSE
LILA-KingA-S1,1,0,2,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,20,2,Player 3,0,28433,FALSE,FALSE
LILA-KingA-S1,1,0,1,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,40,0,Player 1,1,20675,TRUE,TRUE
LILA-KingA-S1,1,0,1,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,20,2,Player 3,2,8411,FALSE,FALSE
LILA-KingA-S1,2,0,0,1,Female,English,6,0,aug.,2008,STEAM,Honors,40,2,Player 3,0,6231,TRUE,TRUE
LILA-KingA-S1,2,0,1,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,20,2,Player 3,1,45252,FALSE,FALSE
LILA-KingA-S1,2,0,1,6,Male,English,6,1,jun.,2008,STEAM,Honors,40,1,Player 2,0,14793,FALSE,TRUE
LILA-KingA-S1,2,0,3,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,20,0,Player 1,0,20182,FALSE,FALSE
LILA-KingA-S1,2,0,1,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,20,0,Player 1,0,22247,FALSE,FALSE
LILA-KingA-S1,2,0,2,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,20,1,Player 2,1,29250,FALSE,FALSE
LILA-KingA-S1,2,0,3,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,40,1,Player 2,2,22494,TRUE,TRUE
LILA-KingA-S1,2,0,2,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,20,0,Player 1,1,11551,FALSE,FALSE
LILA-KingA-S1,2,0,0,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,20,0,Player 1,2,16519,TRUE,FALSE
LILA-KingA-S1,2,0,2,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,40,2,Player 3,0,17410,TRUE,TRUE
LILA-KingA-S1,2,0,0,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,20,1,Player 2,1,16293,FALSE,FALSE
LILA-KingA-S1,2,0,3,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,40,2,Player 3,0,13309,TRUE,TRUE
LILA-KingA-S1,3,0,2,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,20,0,Player 1,0,17489,TRUE,FALSE
LILA-KingA-S1,3,0,1,6,Male,English,6,1,jun.,2008,STEAM,Honors,40,2,Player 3,2,11105,TRUE,TRUE
LILA-KingA-S1,3,0,1,1,Female,English,6,0,aug.,2008,STEAM,Honors,40,0,Player 1,2,17477,FALSE,TRUE
LILA-KingA-S1,3,0,1,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,20,1,Player 2,1,73342,FALSE,FALSE
LILA-KingA-S1,3,0,2,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,20,1,Player 2,1,16908,FALSE,FALSE
LILA-KingA-S1,3,0,3,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,20,1,Player 2,2,31808,FALSE,FALSE
LILA-KingA-S1,3,0,0,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,40,1,Player 2,0,6773,TRUE,TRUE
LILA-KingA-S1,3,0,3,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,40,2,Player 3,2,7341,TRUE,TRUE
LILA-KingA-S1,3,0,3,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,20,0,Player 1,2,18915,FALSE,FALSE
LILA-KingA-S1,3,0,0,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,20,0,Player 1,2,13231,FALSE,FALSE
LILA-KingA-S1,3,0,2,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,40,2,Player 3,2,5258,TRUE,TRUE
LILA-KingA-S1,3,0,0,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,40,2,Player 3,2,8058,TRUE,TRUE
LILA-KingA-S1,4,0,3,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,20,2,Player 3,2,20041,FALSE,FALSE
LILA-KingA-S1,4,0,2,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,40,0,Player 1,0,19576,TRUE,TRUE
LILA-KingA-S1,4,0,1,6,Male,English,6,1,jun.,2008,STEAM,Honors,20,0,Player 1,1,28634,FALSE,FALSE
LILA-KingA-S1,4,0,2,1,Female,English,6,0,aug.,2008,STEAM,Honors,40,1,Player 2,0,11658,TRUE,TRUE
LILA-KingA-S1,4,0,1,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,40,1,Player 2,0,18371,TRUE,TRUE
LILA-KingA-S1,4,0,3,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,20,1,Player 2,2,6953,FALSE,FALSE
LILA-KingA-S1,4,0,0,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,40,1,Player 2,0,14263,TRUE,TRUE
LILA-KingA-S1,4,0,0,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,40,2,Player 3,0,8534,TRUE,TRUE
LILA-KingA-S1,4,0,1,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,40,2,Player 3,0,15855,TRUE,TRUE
LILA-KingA-S1,4,0,2,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,40,2,Player 3,0,6001,TRUE,TRUE
LILA-KingA-S1,4,0,3,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,40,0,Player 1,1,91573,FALSE,TRUE
LILA-KingA-S1,4,0,0,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,20,0,Player 1,2,21692,FALSE,FALSE
LILA-KingA-S1,5,0,0,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,20,0,Player 1,0,32204,FALSE,FALSE
LILA-KingA-S1,5,0,0,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,40,1,Player 2,0,14407,TRUE,TRUE
LILA-KingA-S1,5,0,2,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,40,1,Player 2,0,19325,TRUE,TRUE
LILA-KingA-S1,5,0,3,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,20,1,Player 2,1,8202,FALSE,FALSE
LILA-KingA-S1,5,0,1,6,Male,English,6,1,jun.,2008,STEAM,Honors,20,1,Player 2,2,26417,FALSE,FALSE
LILA-KingA-S1,5,0,2,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,40,2,Player 3,2,19058,TRUE,TRUE
LILA-KingA-S1,5,0,1,1,Female,English,6,0,aug.,2008,STEAM,Honors,40,2,Player 3,2,3947,TRUE,TRUE
LILA-KingA-S1,5,0,0,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,40,2,Player 3,2,15809,TRUE,TRUE
LILA-KingA-S1,5,0,3,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,40,2,Player 3,2,7879,TRUE,TRUE
LILA-KingA-S1,5,0,3,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,40,0,Player 1,1,8254,FALSE,TRUE
LILA-KingA-S1,5,0,1,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,40,0,Player 1,0,41644,FALSE,TRUE
LILA-KingA-S1,5,0,2,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,40,0,Player 1,2,112095,TRUE,TRUE
LILA-KingA-S1,6,0,1,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,20,0,Player 1,2,15715,FALSE,FALSE
LILA-KingA-S1,6,0,0,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,20,1,Player 2,2,33395,FALSE,FALSE
LILA-KingA-S1,6,0,3,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,20,1,Player 2,1,18883,FALSE,FALSE
LILA-KingA-S1,6,0,1,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,20,1,Player 2,1,9917,FALSE,FALSE
LILA-KingA-S1,6,0,3,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,40,2,Player 3,0,8423,TRUE,TRUE
LILA-KingA-S1,6,0,1,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,20,2,Player 3,2,7119,FALSE,FALSE
LILA-KingA-S1,6,0,0,6,Male,English,6,1,jun.,2008,STEAM,Honors,40,2,Player 3,0,8680,TRUE,TRUE
LILA-KingA-S1,6,0,2,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,20,2,Player 3,2,9957,FALSE,FALSE
LILA-KingA-S1,6,0,0,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,20,0,Player 1,1,14952,TRUE,FALSE
LILA-KingA-S1,6,0,3,1,Female,English,6,0,aug.,2008,STEAM,Honors,40,0,Player 1,0,14308,FALSE,TRUE
LILA-KingA-S1,6,0,2,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,20,0,Player 1,1,35723,TRUE,FALSE
LILA-KingA-S1,6,0,2,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,20,1,Player 2,1,4143,FALSE,FALSE
LILA-KingA-S1,7,0,2,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,40,2,Player 3,1,11232,TRUE,TRUE
LILA-KingA-S1,7,0,0,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,20,0,Player 1,2,14628,FALSE,FALSE
LILA-KingA-S1,7,0,2,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,40,0,Player 1,1,13850,TRUE,TRUE
LILA-KingA-S1,7,0,3,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,20,1,Player 2,1,7444,FALSE,FALSE
LILA-KingA-S1,7,0,1,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,40,0,Player 1,2,13442,FALSE,TRUE
LILA-KingA-S1,7,0,1,1,Female,English,6,0,aug.,2008,STEAM,Honors,20,1,Player 2,1,5968,FALSE,FALSE
LILA-KingA-S1,7,0,0,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,20,1,Player 2,0,14219,FALSE,FALSE
LILA-KingA-S1,7,0,2,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,40,1,Player 2,2,12769,TRUE,TRUE
LILA-KingA-S1,7,0,3,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,20,2,Player 3,0,16589,FALSE,FALSE
LILA-KingA-S1,7,0,0,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,20,2,Player 3,2,4723,FALSE,FALSE
LILA-KingA-S1,7,0,1,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,40,2,Player 3,1,8089,TRUE,TRUE
LILA-KingA-S1,7,0,3,6,Male,English,6,1,jun.,2008,STEAM,Honors,20,0,Player 1,1,31224,TRUE,FALSE
LILA-KingA-S1,8,0,2,6,Male,English,6,1,jun.,2008,STEAM,Honors,20,1,Player 2,1,25596,FALSE,FALSE
LILA-KingA-S1,8,0,1,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,20,0,Player 1,1,41313,TRUE,FALSE
LILA-KingA-S1,8,0,1,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,20,1,Player 2,1,36015,FALSE,FALSE
LILA-KingA-S1,8,0,0,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,40,1,Player 2,0,19588,TRUE,TRUE
LILA-KingA-S1,8,0,2,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,20,2,Player 3,0,8788,FALSE,FALSE
LILA-KingA-S1,8,0,1,1,Female,English,6,0,aug.,2008,STEAM,Honors,40,2,Player 3,2,9622,TRUE,TRUE
LILA-KingA-S1,8,0,3,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,40,2,Player 3,2,6399,TRUE,TRUE
LILA-KingA-S1,8,0,0,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,40,2,Player 3,2,8206,TRUE,TRUE
LILA-KingA-S1,8,0,0,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,20,0,Player 1,0,17303,FALSE,FALSE
LILA-KingA-S1,8,0,2,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,20,0,Player 1,1,16198,TRUE,FALSE
LILA-KingA-S1,8,0,3,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,20,0,Player 1,2,23071,FALSE,FALSE
LILA-KingA-S1,8,0,3,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,40,1,Player 2,0,16135,TRUE,TRUE
LILA-KingA-S1,9,0,2,1,Female,English,6,0,aug.,2008,STEAM,Honors,40,0,Player 1,1,5024,FALSE,TRUE
LILA-KingA-S1,9,0,3,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,20,0,Player 1,1,9730,FALSE,FALSE
LILA-KingA-S1,9,0,1,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,20,0,Player 1,1,8822,FALSE,FALSE
LILA-KingA-S1,9,0,0,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,20,0,Player 1,1,34106,FALSE,FALSE
LILA-KingA-S1,9,0,3,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,20,1,Player 2,0,43414,FALSE,FALSE
LILA-KingA-S1,9,0,2,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,20,1,Player 2,2,28893,FALSE,FALSE
LILA-KingA-S1,9,0,1,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,20,1,Player 2,0,13648,FALSE,FALSE
LILA-KingA-S1,9,0,0,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,20,1,Player 2,0,10852,FALSE,FALSE
LILA-KingA-S1,9,0,2,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,40,2,Player 3,2,22700,TRUE,TRUE
LILA-KingA-S1,9,0,0,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,40,2,Player 3,2,11695,TRUE,TRUE
LILA-KingA-S1,9,0,3,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,40,2,Player 3,2,8213,TRUE,TRUE
LILA-KingA-S1,9,0,1,6,Male,English,6,1,jun.,2008,STEAM,Honors,40,2,Player 3,2,6102,TRUE,TRUE
LILA-KingA-S1,10,0,1,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,20,0,Player 1,1,18908,TRUE,FALSE
LILA-KingA-S1,10,0,2,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,20,0,Player 1,0,45448,FALSE,FALSE
LILA-KingA-S1,10,0,3,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,20,2,Player 3,0,12713,FALSE,FALSE
LILA-KingA-S1,10,0,0,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,40,0,Player 1,1,15574,TRUE,TRUE
LILA-KingA-S1,10,0,3,6,Male,English,6,1,jun.,2008,STEAM,Honors,20,0,Player 1,2,17282,FALSE,FALSE
LILA-KingA-S1,10,0,3,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,40,1,Player 2,0,15166,FALSE,TRUE
LILA-KingA-S1,10,0,0,1,Female,English,6,0,aug.,2008,STEAM,Honors,40,1,Player 2,1,16770,TRUE,TRUE
LILA-KingA-S1,10,0,2,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,40,1,Player 2,1,8468,TRUE,TRUE
LILA-KingA-S1,10,0,1,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,20,1,Player 2,0,10614,FALSE,FALSE
LILA-KingA-S1,10,0,2,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,40,2,Player 3,1,14369,TRUE,TRUE
LILA-KingA-S1,10,0,0,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,40,2,Player 3,1,7787,TRUE,TRUE
LILA-KingA-S1,10,0,1,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,40,2,Player 3,1,6273,TRUE,TRUE
LILA-KingA-S1,11,0,2,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,20,0,Player 1,0,13164,FALSE,FALSE
LILA-KingA-S1,11,0,3,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,40,0,Player 1,1,8368,FALSE,TRUE
LILA-KingA-S1,11,0,0,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,20,0,Player 1,2,5614,TRUE,FALSE
LILA-KingA-S1,11,0,1,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,40,0,Player 1,0,8458,FALSE,TRUE
LILA-KingA-S1,11,0,1,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,20,1,Player 2,1,5646,FALSE,FALSE
LILA-KingA-S1,11,0,2,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,40,1,Player 2,2,9804,TRUE,TRUE
LILA-KingA-S1,11,0,3,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,20,1,Player 2,0,13657,FALSE,FALSE
LILA-KingA-S1,11,0,0,6,Male,English,6,1,jun.,2008,STEAM,Honors,20,1,Player 2,0,26424,FALSE,FALSE
LILA-KingA-S1,11,0,1,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,40,2,Player 3,0,6898,TRUE,TRUE
LILA-KingA-S1,11,0,3,1,Female,English,6,0,aug.,2008,STEAM,Honors,40,2,Player 3,0,3899,TRUE,TRUE
LILA-KingA-S1,11,0,2,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,40,2,Player 3,0,5056,TRUE,TRUE
LILA-KingA-S1,11,0,0,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,40,2,Player 3,0,19769,TRUE,TRUE
LILA-KingA-S1,12,0,1,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,20,0,Player 1,0,9470,TRUE,FALSE
LILA-KingA-S1,12,0,3,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,20,0,Player 1,1,32147,FALSE,FALSE
LILA-KingA-S1,12,0,0,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,20,0,Player 1,1,20702,FALSE,FALSE
LILA-KingA-S1,12,0,1,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,20,1,Player 2,2,7350,FALSE,FALSE
LILA-KingA-S1,12,0,2,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,40,1,Player 2,0,21505,TRUE,TRUE
LILA-KingA-S1,12,0,3,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,40,1,Player 2,0,30880,TRUE,TRUE
LILA-KingA-S1,12,0,0,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,20,1,Player 2,1,11028,FALSE,FALSE
LILA-KingA-S1,12,0,2,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,40,2,Player 3,2,12059,TRUE,TRUE
LILA-KingA-S1,12,0,0,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,40,2,Player 3,2,7315,TRUE,TRUE
LILA-KingA-S1,12,0,1,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,40,2,Player 3,2,4840,TRUE,TRUE
LILA-KingA-S1,12,0,3,6,Male,English,6,1,jun.,2008,STEAM,Honors,40,2,Player 3,2,6978,TRUE,TRUE
LILA-KingA-S1,12,0,2,1,Female,English,6,0,aug.,2008,STEAM,Honors,40,0,Player 1,0,10671,TRUE,TRUE
LILA-KingA-S1,13,0,0,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,40,2,Player 3,0,8853,TRUE,TRUE
LILA-KingA-S1,13,0,1,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,20,0,Player 1,1,9521,FALSE,FALSE
LILA-KingA-S1,13,0,3,6,Male,English,6,1,jun.,2008,STEAM,Honors,40,0,Player 1,1,19612,FALSE,TRUE
LILA-KingA-S1,13,0,0,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,20,1,Player 2,2,7255,FALSE,FALSE
LILA-KingA-S1,13,0,3,1,Female,English,6,0,aug.,2008,STEAM,Honors,20,1,Player 2,2,5600,FALSE,FALSE
LILA-KingA-S1,13,0,2,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,40,1,Player 2,0,13570,TRUE,TRUE
LILA-KingA-S1,13,0,2,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,40,2,Player 3,0,3817,TRUE,TRUE
LILA-KingA-S1,13,0,1,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,40,2,Player 3,0,9764,TRUE,TRUE
LILA-KingA-S1,13,0,3,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,40,2,Player 3,0,8528,TRUE,TRUE
LILA-KingA-S1,13,0,2,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,40,0,Player 1,0,54748,TRUE,TRUE
LILA-KingA-S1,13,0,1,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,40,1,Player 2,0,11954,TRUE,TRUE
LILA-KingA-S1,13,0,0,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,20,0,Player 1,0,9006,TRUE,FALSE
LILA-KingA-S1,14,0,0,1,Female,English,6,0,aug.,2008,STEAM,Honors,40,2,Player 3,2,5770,TRUE,TRUE
LILA-KingA-S1,14,0,1,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,40,2,Player 3,2,4466,TRUE,TRUE
LILA-KingA-S1,14,0,3,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,40,2,Player 3,2,10795,TRUE,TRUE
LILA-KingA-S1,14,0,0,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,40,0,Player 1,0,11301,FALSE,TRUE
LILA-KingA-S1,14,0,3,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,20,0,Player 1,0,12848,FALSE,FALSE
LILA-KingA-S1,14,0,2,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,20,0,Player 1,0,12388,FALSE,FALSE
LILA-KingA-S1,14,0,1,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,20,0,Player 1,1,20775,FALSE,FALSE
LILA-KingA-S1,14,0,0,6,Male,English,6,1,jun.,2008,STEAM,Honors,20,1,Player 2,2,12159,FALSE,FALSE
LILA-KingA-S1,14,0,1,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,40,1,Player 2,0,9343,TRUE,TRUE
LILA-KingA-S1,14,0,3,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,40,1,Player 2,0,37232,TRUE,TRUE
LILA-KingA-S1,14,0,2,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,20,1,Player 2,1,7545,FALSE,FALSE
LILA-KingA-S1,14,0,2,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,40,2,Player 3,2,11629,TRUE,TRUE
LILA-KingA-S1,15,0,3,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,40,1,Player 2,0,9445,TRUE,TRUE
LILA-KingA-S1,15,0,2,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,40,2,Player 3,0,18512,TRUE,TRUE
LILA-KingA-S1,15,0,0,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,40,2,Player 3,0,6303,TRUE,TRUE
LILA-KingA-S1,15,0,3,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,40,2,Player 3,0,4547,TRUE,TRUE
LILA-KingA-S1,15,0,1,6,Male,English,6,1,jun.,2008,STEAM,Honors,40,2,Player 3,0,4548,TRUE,TRUE
LILA-KingA-S1,15,0,3,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,20,0,Player 1,0,8775,FALSE,FALSE
LILA-KingA-S1,15,0,2,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,20,0,Player 1,2,34364,FALSE,FALSE
LILA-KingA-S1,15,0,1,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,20,0,Player 1,1,22774,TRUE,FALSE
LILA-KingA-S1,15,0,0,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,20,1,Player 2,2,18436,FALSE,FALSE
LILA-KingA-S1,15,0,1,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,20,1,Player 2,2,23833,FALSE,FALSE
LILA-KingA-S1,15,0,2,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,20,1,Player 2,1,4676,FALSE,FALSE
