,roleType,Campus,SessionName,Session code,clientId,matchId,groupId,role,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10,choice11,choice12,centiPayoff,gender,grade,birth_year,birth_month,birth_day,younger_siblings,older_siblings,school_topics
41,blue,LILA-35,SS1,    ho66dyvc,1,6,6,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,3,2010,September,8,Yes,No,Art &amp; Music
42,blue,LILA-35,SS1,    ho66dyvc,3,6,4,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,April,28,No,Yes,Art &amp; Music
43,orange,LILA-35,SS1,    ho66dyvc,5,6,4,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,3,2010,July,8,No,No,History
44,blue,LILA-35,SS1,    ho66dyvc,7,6,1,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,3,2010,November,8,No,Yes,Math
45,blue,LILA-35,SS1,    ho66dyvc,8,6,5,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,3,2010,April,9,No,No,Sciences &amp; Technology
46,orange,LILA-35,SS1,    ho66dyvc,10,6,1,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,3,2010,October,11,No,No,Art &amp; Music
47,blue,LILA-35,SS1,    ho66dyvc,11,6,3,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,F,3,2010,December,20,No,Yes,History
48,orange,LILA-35,SS1,    ho66dyvc,4,7,6,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,3,2010,June,25,No,Yes,Math
49,orange,LILA-35,SS1,    ho66dyvc,6,7,3,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,F,3,2010,May,14,No,No,History
50,orange,LILA-35,SS1,    ho66dyvc,12,7,1,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,F,3,2010,November,8,Yes,No,Sciences &amp; Technology
51,orange,LILA-35,SS1,    ho66dyvc,9,7,2,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,3,2010,March,23,No,Yes,Art &amp; Music
52,blue,LILA-35,SS1,    ho66dyvc,2,7,1,orange,None,arrow,None,arrow,None,None,None,None,None,None,None,None,50,F,3,2010,March,10,No,No,Art &amp; Music
53,blue,LILA-35,SS1,    ho66dyvc,1,7,6,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,September,8,Yes,No,Art &amp; Music
54,blue,LILA-35,SS1,    ho66dyvc,3,7,5,orange,None,arrow,None,arrow,None,None,None,None,None,None,None,None,50,F,3,2010,April,28,No,Yes,Art &amp; Music
55,orange,LILA-35,SS1,    ho66dyvc,5,7,4,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,3,2010,July,8,No,No,History
56,blue,LILA-35,SS1,    ho66dyvc,7,7,2,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,3,2010,November,8,No,Yes,Math
57,blue,LILA-35,SS1,    ho66dyvc,8,7,4,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,3,2010,April,9,No,No,Sciences &amp; Technology
58,orange,LILA-35,SS1,    ho66dyvc,10,7,5,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,M,3,2010,October,11,No,No,Art &amp; Music
59,blue,LILA-35,SS1,    ho66dyvc,11,7,3,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,December,20,No,Yes,History
60,orange,LILA-35,SS2,xk0lcaoy,8,3,1,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,F,4,2009,November,14,Yes,Yes,Art &amp; Music
61,blue,LILA-35,SS2,xk0lcaoy,9,3,3,blue,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,None,50,F,4,2009,December,9,Yes,Yes,Art &amp; Music
62,orange,LILA-35,SS2,xk0lcaoy,10,3,6,orange,None,arrow,None,arrow,None,stop,None,None,None,None,None,None,450,F,4,2009,January,17,No,No,Languages
63,orange,LILA-35,SS2,xk0lcaoy,11,3,3,orange,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,590,F,4,2009,March,22,Yes,Yes,Math
64,orange,LILA-35,SS2,xk0lcaoy,12,3,4,orange,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,590,M,4,2009,January,9,No,Yes,Math
65,blue,LILA-35,SS2,xk0lcaoy,1,3,5,blue,arrow,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,660,F,4,2009,May,28,No,Yes,Math
66,blue,LILA-35,SS2,xk0lcaoy,2,3,1,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,M,4,2010,January,22,Yes,No,Math
67,orange,LILA-35,SS2,xk0lcaoy,3,3,2,orange,None,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,50,F,4,2009,November,9,No,Yes,Sciences &amp; Technology
68,blue,LILA-35,SS2,xk0lcaoy,4,3,4,blue,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,None,50,M,4,2009,April,15,No,Yes,Art &amp; Music
69,orange,LILA-35,SS2,xk0lcaoy,5,3,5,orange,None,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,50,M,4,2009,August,22,Yes,No,Art &amp; Music
70,blue,LILA-35,SS2,xk0lcaoy,6,3,2,blue,arrow,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,660,F,4,2009,May,2,Yes,No,Math
71,blue,LILA-35,SS2,xk0lcaoy,7,3,6,blue,arrow,None,arrow,None,arrow,None,None,None,None,None,None,None,50,M,4,2009,January,31,No,Yes,Art &amp; Music
72,orange,LILA-35,SS2,xk0lcaoy,8,4,5,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,4,2009,November,14,Yes,Yes,Art &amp; Music
73,blue,LILA-35,SS2,xk0lcaoy,9,4,5,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,4,2009,December,9,Yes,Yes,Art &amp; Music
74,orange,LILA-35,SS2,xk0lcaoy,10,4,3,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,4,2009,January,17,No,No,Languages
75,orange,LILA-35,SS2,xk0lcaoy,11,4,1,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,4,2009,March,22,Yes,Yes,Math
76,orange,LILA-35,SS2,xk0lcaoy,12,4,4,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,4,2009,January,9,No,Yes,Math
77,blue,LILA-35,SS2,xk0lcaoy,1,4,6,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,4,2009,May,28,No,Yes,Math
78,blue,LILA-35,SS2,xk0lcaoy,2,4,3,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,4,2010,January,22,Yes,No,Math
79,orange,LILA-35,SS2,xk0lcaoy,3,4,6,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,4,2009,November,9,No,Yes,Sciences &amp; Technology
80,blue,LILA-35,SS2,xk0lcaoy,4,4,2,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,4,2009,April,15,No,Yes,Art &amp; Music
81,orange,LILA-35,SS2,xk0lcaoy,5,4,2,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,M,4,2009,August,22,Yes,No,Art &amp; Music
82,blue,LILA-35,SS2,xk0lcaoy,6,4,1,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,4,2009,May,2,Yes,No,Math
83,blue,LILA-35,SS2,xk0lcaoy,7,4,4,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,4,2009,January,31,No,Yes,Art &amp; Music
84,orange,LILA-35,SS2,xk0lcaoy,8,5,1,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,4,2009,November,14,Yes,Yes,Art &amp; Music
85,blue,LILA-35,SS2,xk0lcaoy,9,5,4,orange,None,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,50,F,4,2009,December,9,Yes,Yes,Art &amp; Music
86,orange,LILA-35,SS2,xk0lcaoy,10,5,2,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,F,4,2009,January,17,No,No,Languages
87,orange,LILA-35,SS2,xk0lcaoy,11,5,6,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,F,4,2009,March,22,Yes,Yes,Math
88,orange,LILA-35,SS2,xk0lcaoy,12,5,4,blue,arrow,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,660,M,4,2009,January,9,No,Yes,Math
89,blue,LILA-35,SS2,xk0lcaoy,1,5,6,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,F,4,2009,May,28,No,Yes,Math
90,blue,LILA-35,SS2,xk0lcaoy,2,5,1,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,M,4,2010,January,22,Yes,No,Math
91,orange,LILA-35,SS2,xk0lcaoy,3,5,5,blue,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,None,50,F,4,2009,November,9,No,Yes,Sciences &amp; Technology
92,blue,LILA-35,SS2,xk0lcaoy,4,5,3,orange,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,590,M,4,2009,April,15,No,Yes,Art &amp; Music
93,orange,LILA-35,SS2,xk0lcaoy,5,5,3,blue,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,None,50,M,4,2009,August,22,Yes,No,Art &amp; Music
94,blue,LILA-35,SS2,xk0lcaoy,6,5,5,orange,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,590,F,4,2009,May,2,Yes,No,Math
95,blue,LILA-35,SS2,xk0lcaoy,7,5,2,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,M,4,2009,January,31,No,Yes,Art &amp; Music
96,orange,LILA-35,SS2,    xk0lcaoy,8,6,1,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,4,2009,November,14,Yes,Yes,Art &amp; Music
97,blue,LILA-35,SS2,    xk0lcaoy,9,6,2,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,F,4,2009,December,9,Yes,Yes,Art &amp; Music
98,orange,LILA-35,SS2,    xk0lcaoy,10,6,2,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,F,4,2009,January,17,No,No,Languages
99,orange,LILA-35,SS2,    xk0lcaoy,11,6,4,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,F,4,2009,March,22,Yes,Yes,Math
100,orange,LILA-35,SS2,    xk0lcaoy,12,6,6,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,M,4,2009,January,9,No,Yes,Math
101,blue,LILA-35,SS2,    xk0lcaoy,1,6,4,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,F,4,2009,May,28,No,Yes,Math
102,blue,LILA-35,SS2,    xk0lcaoy,2,6,1,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,4,2010,January,22,Yes,No,Math
103,orange,LILA-35,SS2,    xk0lcaoy,3,6,5,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,4,2009,November,9,No,Yes,Sciences &amp; Technology
104,blue,LILA-35,SS2,    xk0lcaoy,4,6,6,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,M,4,2009,April,15,No,Yes,Art &amp; Music
105,orange,LILA-35,SS2,    xk0lcaoy,5,6,3,orange,None,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,50,M,4,2009,August,22,Yes,No,Art &amp; Music
106,blue,LILA-35,SS2,    xk0lcaoy,6,6,3,blue,arrow,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,660,F,4,2009,May,2,Yes,No,Math
107,blue,LILA-35,SS2,    xk0lcaoy,7,6,5,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,4,2009,January,31,No,Yes,Art &amp; Music
108,orange,LILA-35,SS2,    xk0lcaoy,8,7,4,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,4,2009,November,14,Yes,Yes,Art &amp; Music
109,blue,LILA-35,SS2,    xk0lcaoy,9,7,2,orange,None,arrow,None,arrow,None,stop,None,None,None,None,None,None,450,F,4,2009,December,9,Yes,Yes,Art &amp; Music
110,orange,LILA-35,SS2,    xk0lcaoy,10,7,3,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,F,4,2009,January,17,No,No,Languages
111,orange,LILA-35,SS2,    xk0lcaoy,11,7,1,blue,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,None,50,F,4,2009,March,22,Yes,Yes,Math
112,orange,LILA-35,SS2,    xk0lcaoy,12,7,6,blue,arrow,None,arrow,None,arrow,None,None,None,None,None,None,None,50,M,4,2009,January,9,No,Yes,Math
113,blue,LILA-35,SS2,    xk0lcaoy,1,7,1,orange,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,590,F,4,2009,May,28,No,Yes,Math
114,blue,LILA-35,SS2,    xk0lcaoy,2,7,6,orange,None,arrow,None,arrow,None,stop,None,None,None,None,None,None,450,M,4,2010,January,22,Yes,No,Math
115,orange,LILA-35,SS2,    xk0lcaoy,3,7,2,blue,arrow,None,arrow,None,arrow,None,None,None,None,None,None,None,50,F,4,2009,November,9,No,Yes,Sciences &amp; Technology
116,blue,LILA-35,SS2,    xk0lcaoy,4,7,4,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,M,4,2009,April,15,No,Yes,Art &amp; Music
117,orange,LILA-35,SS2,    xk0lcaoy,5,7,5,blue,arrow,None,arrow,None,arrow,None,arrow,None,arrow,None,None,None,50,M,4,2009,August,22,Yes,No,Art &amp; Music
118,blue,LILA-35,SS2,    xk0lcaoy,6,7,5,orange,None,arrow,None,arrow,None,arrow,None,arrow,None,stop,None,None,730,F,4,2009,May,2,Yes,No,Math
119,blue,LILA-35,SS2,    xk0lcaoy,7,7,3,orange,None,arrow,None,arrow,None,None,None,None,None,None,None,None,50,M,4,2009,January,31,No,Yes,Art &amp; Music
120,blue,LILA-35,SS3,ja40xg28,1,3,2,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,5,2008,December,6,No,Yes,Art &amp; Music
121,orange,LILA-35,SS3,ja40xg28,5,3,2,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,5,2008,September,5,Yes,No,Math
122,orange,LILA-35,SS3,ja40xg28,6,3,3,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,5,2008,May,1,No,Yes,Math
123,blue,LILA-35,SS3,ja40xg28,9,3,4,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,5,2006,December,29,No,No,Art &amp; Music
124,orange,LILA-35,SS3,ja40xg28,10,3,6,orange,None,arrow,None,arrow,None,None,None,None,None,None,None,None,50,M,5,2008,May,22,No,No,Math
125,blue,LILA-35,SS3,ja40xg28,11,3,3,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,5,2008,July,7,No,Yes,Art &amp; Music
126,blue,LILA-35,SS3,ja40xg28,4,3,5,blue,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,None,50,M,5,2008,August,28,No,No,Sciences &amp; Technology
127,blue,LILA-35,SS3,ja40xg28,2,3,6,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,M,5,2008,June,10,Yes,No,Sciences &amp; Technology
128,orange,LILA-35,SS3,ja40xg28,3,3,1,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,F,5,2008,September,13,Yes,No,Art &amp; Music
129,blue,LILA-35,SS3,ja40xg28,7,3,1,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,F,5,2008,January,18,No,No,Art &amp; Music
130,orange,LILA-35,SS3,ja40xg28,8,3,4,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,5,2008,March,12,No,Yes,Math
131,orange,LILA-35,SS3,ja40xg28,12,3,5,orange,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,590,F,5,2008,March,11,No,No,Literature
132,blue,LILA-35,SS3,ja40xg28,1,4,4,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,5,2008,December,6,No,Yes,Art &amp; Music
133,orange,LILA-35,SS3,ja40xg28,5,4,1,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,5,2008,September,5,Yes,No,Math
134,orange,LILA-35,SS3,ja40xg28,6,4,3,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,M,5,2008,May,1,No,Yes,Math
135,blue,LILA-35,SS3,ja40xg28,9,4,1,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,5,2006,December,29,No,No,Art &amp; Music
136,orange,LILA-35,SS3,ja40xg28,10,4,2,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,5,2008,May,22,No,No,Math
137,blue,LILA-35,SS3,ja40xg28,11,4,3,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,5,2008,July,7,No,Yes,Art &amp; Music
138,blue,LILA-35,SS3,ja40xg28,4,4,2,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,5,2008,August,28,No,No,Sciences &amp; Technology
139,blue,LILA-35,SS3,ja40xg28,2,4,6,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,5,2008,June,10,Yes,No,Sciences &amp; Technology
140,orange,LILA-35,SS3,ja40xg28,3,4,4,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,5,2008,September,13,Yes,No,Art &amp; Music
141,blue,LILA-35,SS3,ja40xg28,7,4,5,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,5,2008,January,18,No,No,Art &amp; Music
142,orange,LILA-35,SS3,ja40xg28,8,4,6,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,5,2008,March,12,No,Yes,Math
143,orange,LILA-35,SS3,ja40xg28,12,4,5,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,5,2008,March,11,No,No,Literature
144,blue,LILA-35,SS3,ja40xg28,1,5,1,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,5,2008,December,6,No,Yes,Art &amp; Music
145,orange,LILA-35,SS3,ja40xg28,5,5,2,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,5,2008,September,5,Yes,No,Math
146,orange,LILA-35,SS3,ja40xg28,6,5,6,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,5,2008,May,1,No,Yes,Math
147,blue,LILA-35,SS3,ja40xg28,9,5,2,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,F,5,2006,December,29,No,No,Art &amp; Music
148,orange,LILA-35,SS3,ja40xg28,10,5,5,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,5,2008,May,22,No,No,Math
149,blue,LILA-35,SS3,ja40xg28,11,5,4,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,5,2008,July,7,No,Yes,Art &amp; Music
150,blue,LILA-35,SS3,ja40xg28,4,5,3,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,5,2008,August,28,No,No,Sciences &amp; Technology
151,blue,LILA-35,SS3,ja40xg28,2,5,6,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,M,5,2008,June,10,Yes,No,Sciences &amp; Technology
152,orange,LILA-35,SS3,ja40xg28,3,5,4,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,5,2008,September,13,Yes,No,Art &amp; Music
153,blue,LILA-35,SS3,ja40xg28,7,5,5,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,5,2008,January,18,No,No,Art &amp; Music
154,orange,LILA-35,SS3,ja40xg28,8,5,3,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,5,2008,March,12,No,Yes,Math
155,orange,LILA-35,SS3,ja40xg28,12,5,1,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,5,2008,March,11,No,No,Literature
156,blue,LILA-35,SS3,    ja40xg28,1,6,5,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,5,2008,December,6,No,Yes,Art &amp; Music
157,orange,LILA-35,SS3,    ja40xg28,5,6,2,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,5,2008,September,5,Yes,No,Math
158,orange,LILA-35,SS3,    ja40xg28,6,6,1,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,5,2008,May,1,No,Yes,Math
159,blue,LILA-35,SS3,    ja40xg28,9,6,3,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,5,2006,December,29,No,No,Art &amp; Music
160,orange,LILA-35,SS3,    ja40xg28,10,6,6,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,M,5,2008,May,22,No,No,Math
